,company,year,Price,kms_driven,fuel_type
658,Mahindra,2004,175000,60000,Diesel
659,Volkswagen,2011,200000,95000,Diesel
660,Tata,2017,270000,50000,Diesel
661,Ford,2019,525000,0,Petrol
662,Honda,2006,180000,50000,Petrol
663,Maruti,2008,140000,68000,Petrol
664,Ford,2014,400000,16000,Petrol
665,Maruti,2016,499000,51000,Diesel
666,Maruti,2009,85000,56000,Petrol
667,Maruti,2004,70000,100000,Petrol
668,Renault,2015,550000,36000,Petrol
669,Maruti,2014,370000,11523,Petrol
670,Maruti,2018,690000,1000,Petrol
671,Honda,2009,250000,60000,Petrol
672,Tata,2016,110000,85000,Diesel
673,Renault,2013,490000,38600,Diesel
674,Mahindra,2009,320000,95500,Diesel
675,Maruti,2004,68000,56000,Petrol
676,Maruti,2014,130000,37458,Petrol
677,Maruti,2016,970000,85960,Diesel
678,Audi,2015,3100000,12516,Petrol
679,Hyundai,2018,280000,35000,Petrol
680,Maruti,2009,125000,0,Petrol
681,Mahindra,2008,285000,80000,Diesel
682,Hyundai,2011,165000,45000,Petrol
683,Maruti,2009,250000,51000,Diesel
684,Mahindra,2015,865000,30000,Diesel
685,Mahindra,2011,390000,48000,Diesel
686,Hyundai,2003,60000,51000,Petrol
687,Chevrolet,2015,215000,90000,Diesel
688,Maruti,2015,475000,43000,Diesel
689,Mahindra,2015,899000,53000,Diesel
690,Toyota,2013,1499000,97000,Diesel
691,Maruti,2013,240000,20000,Petrol
692,Hyundai,2007,99000,55000,Petrol
693,Maruti,2014,260000,120000,Diesel
694,Hyundai,2019,1200000,0,Petrol
695,Hyundai,2007,115000,46000,Petrol
696,Hyundai,2009,88000,43200,Petrol
697,Mahindra,2011,390000,56000,Diesel
698,Hyundai,2007,135000,42000,Petrol
699,Tata,2009,90000,30600,Diesel
700,Hyundai,2011,220000,38000,Petrol
701,Hyundai,2017,424999,2550,Petrol
702,Hyundai,2007,135000,47000,Petrol
703,Honda,2005,95000,41000,Petrol
704,Nissan,2017,430000,62500,Diesel
705,Honda,2005,115000,68000,Petrol
706,Maruti,2015,215000,50000,Petrol
707,Maruti,2004,53000,69000,Petrol
708,Maruti,2012,500000,48000,Diesel
709,Tata,2012,85000,55000,Diesel
710,Maruti,2013,165000,25000,Petrol
711,Hyundai,2014,200000,28400,Petrol
712,Hyundai,2014,200000,28000,Petrol
713,Maruti,2015,425000,42000,Diesel
714,Hyundai,2012,600000,29000,Diesel
715,Chevrolet,2005,130000,68485,Diesel
716,Tata,2018,430000,3500,Petrol
717,Tata,2019,568500,0,Petrol
718,Maruti,2006,71000,32000,Petrol
719,Mahindra,2018,560000,8000,Diesel
720,Ford,2014,590000,34000,Diesel
721,Hindustan,1995,750000,37000,Petrol
722,Ford,2007,125000,85455,Diesel
723,Hyundai,2007,135000,46000,Petrol
724,Hyundai,2002,60000,47000,Petrol
725,Fiat,2009,120000,64000,Petrol
726,Ford,2008,95000,46000,Petrol
727,Maruti,2017,240000,8000,Petrol
728,Tata,2012,115000,64000,Diesel
729,Mahindra,2015,795000,63000,Diesel
730,Hyundai,2007,55000,65000,Petrol
731,Mahindra,2009,300000,62000,Diesel
732,Hyundai,2014,320000,41000,Petrol
733,Maruti,2015,265000,14000,Petrol
734,Toyota,2006,160000,40000,Petrol
735,Hyundai,2017,300000,1600,Petrol
736,Tata,2010,130000,90000,Diesel
737,Maruti,2011,250000,58000,Diesel
738,Volkswagen,2013,380000,27000,Petrol
739,Maruti,2003,42000,60000,Petrol
740,Tata,2017,400000,31000,Petrol
741,Maruti,2009,120000,90000,Diesel
742,Maruti,2009,120000,90000,Diesel
743,Tata,2016,130000,150000,Diesel
744,Chevrolet,2014,189000,31000,Diesel
745,Mahindra,2011,365000,43000,Diesel
746,Hyundai,2013,170000,20000,Petrol
747,Tata,2013,215000,100000,Petrol
748,Tata,2013,60000,7000,Petrol
749,Hyundai,2017,599999,31000,Petrol
750,Hyundai,2009,400000,33000,Petrol
751,Hyundai,2016,900000,60000,Diesel
752,Volkswagen,2013,299999,48000,Diesel
753,Maruti,2014,374999,33000,Petrol
754,Tata,2015,600000,15000,Petrol
755,Maruti,2005,70000,47000,Petrol
756,Maruti,2005,100000,40000,Petrol
757,Maruti,2010,150000,38000,Diesel
758,Maruti,2017,225000,12500,Petrol
759,Maruti,2009,210000,42000,Petrol
760,Hyundai,2014,425000,31000,Petrol
761,Maruti,2008,162000,60000,Diesel
762,Tata,2005,60000,80000,Diesel
763,Mahindra,2014,650000,77000,Diesel
764,Toyota,2012,750000,75000,Diesel
765,Mahindra,2010,375000,40000,Diesel
766,Hyundai,2011,230000,47000,Petrol
767,Maruti,2000,35999,60000,Petrol
768,Mahindra,2016,380000,26500,Petrol
769,Mahindra,2019,560000,2875,Petrol
770,Datsun,2016,285000,13900,Petrol
771,Ford,2019,2900000,9000,Diesel
772,Tata,2005,39999,80000,Diesel
773,Hyundai,2006,85000,60000,Petrol
774,Maruti,2016,395000,20000,Petrol
775,Maruti,2008,175000,58000,Diesel
776,Maruti,2019,400000,1500,Petrol
777,Toyota,2011,750000,75000,Diesel
778,Maruti,2016,250000,2450,Petrol
779,Maruti,2019,425000,1625,Petrol
780,Volkswagen,2017,525000,45000,Petrol
781,Mahindra,2009,130000,65000,Diesel
782,Maruti,2000,30000,33400,Petrol
783,Mahindra,2011,475000,60123,Diesel
784,Chevrolet,2013,300000,28000,Petrol
785,Hyundai,2003,60000,70000,Petrol
786,Maruti,2006,100000,7000,Petrol
787,Hyundai,2018,260000,25000,Petrol
788,Tata,2015,100000,100000,Diesel
789,Toyota,2013,265000,42000,Petrol
790,Hyundai,2009,115000,20000,Petrol
791,Toyota,2003,180000,100000,Diesel
792,Hyundai,2004,45000,137495,Petrol
793,Tata,2016,50500,91200,Diesel
794,Honda,2009,270000,55000,Petrol
795,Tata,2017,290000,120000,Diesel
796,Mahindra,2013,325000,63000,Diesel
797,Tata,2016,160000,104000,Diesel
798,Maruti,2016,350000,146000,Diesel
799,Hyundai,2011,290000,40000,Petrol
800,Hyundai,2011,290000,40000,Petrol
801,Chevrolet,2007,465000,100800,Diesel
802,Maruti,2016,325000,150000,Diesel
803,Hyundai,2018,510000,2100,Petrol
804,Honda,2016,860000,95000,Petrol
805,Maruti,2016,450000,2500,Diesel
806,Hyundai,2006,125000,80000,Petrol
807,Mercedes,2006,500001,15000,Petrol
808,Maruti,2005,95000,65000,Petrol
809,Maruti,2009,250000,51000,Diesel
810,Skoda,2009,110000,45000,Petrol
811,Maruti,2011,270000,50000,Petrol
812,Tata,2009,110000,30000,Diesel
813,Toyota,2009,300000,132000,Petrol
814,Tata,2018,260000,27000,Diesel
815,Mahindra,2013,390000,40000,Diesel
